TrialNum,TrialNumInBlock,BlockNum,BlockMarkersOn,TrialTargetNum,TargDirID
1,1,1,0,5,0
2,2,1,0,3,0
3,3,1,0,1,0
4,4,1,0,6,0
5,5,1,0,8,0
6,6,1,0,10,0
7,7,1,0,4,0
8,8,1,0,2,0
9,9,1,0,7,0
10,10,1,0,9,0
11,11,1,0,3,0
12,12,1,0,1,0
13,13,1,0,6,0
14,14,1,0,8,0
15,15,1,0,10,0
16,16,1,0,4,0
17,17,1,0,2,0
18,18,1,0,7,0
19,19,1,0,9,0
20,20,1,0,5,0
21,21,1,0,1,0
22,22,1,0,6,0
23,23,1,0,8,0
24,24,1,0,10,0
25,25,1,0,4,0
26,26,1,0,2,0
27,27,1,0,7,0
28,28,1,0,9,0
29,29,1,0,5,0
30,30,1,0,3,0
31,31,1,0,6,0
32,32,1,0,8,0
33,33,1,0,10,0
34,34,1,0,4,0
35,35,1,0,2,0
36,36,1,0,7,0
37,37,1,0,9,0
38,38,1,0,5,0
39,39,1,0,3,0
40,40,1,0,1,0
41,41,1,0,8,0
42,42,1,0,10,0
43,43,1,0,4,0
44,44,1,0,2,0
45,45,1,0,7,0
46,46,1,0,9,0
47,47,1,0,5,0
48,48,1,0,3,0
49,49,1,0,1,0
50,50,1,0,6,0
51,1,2,0,10,0
52,2,2,0,4,0
53,3,2,0,2,0
54,4,2,0,7,0
55,5,2,0,9,0
56,6,2,0,5,0
57,7,2,0,3,0
58,8,2,0,1,0
59,9,2,0,6,0
60,10,2,0,8,0
61,11,2,0,4,0
62,12,2,0,2,0
63,13,2,0,7,0
64,14,2,0,9,0
65,15,2,0,5,0
66,16,2,0,3,0
67,17,2,0,1,0
68,18,2,0,6,0
69,19,2,0,8,0
70,20,2,0,10,0
71,21,2,0,2,0
72,22,2,0,7,0
73,23,2,0,9,0
74,24,2,0,5,0
75,25,2,0,3,0
76,26,2,0,1,0
77,27,2,0,6,0
78,28,2,0,8,0
79,29,2,0,10,0
80,30,2,0,4,0
81,31,2,0,7,0
82,32,2,0,9,0
83,33,2,0,5,0
84,34,2,0,3,0
85,35,2,0,1,0
86,36,2,0,6,0
87,37,2,0,8,0
88,38,2,0,10,0
89,39,2,0,4,0
90,40,2,0,2,0
91,41,2,0,9,0
92,42,2,0,5,0
93,43,2,0,3,0
94,44,2,0,1,0
95,45,2,0,6,0
96,46,2,0,8,0
97,47,2,0,10,0
98,48,2,0,4,0
99,49,2,0,2,0
100,50,2,0,7,0
101,1,3,0,5,2
102,2,3,0,3,2
103,3,3,0,1,2
104,4,3,0,6,2
105,5,3,0,8,2
106,6,3,0,10,2
107,7,3,0,4,2
108,8,3,0,2,2
109,9,3,0,7,2
110,10,3,0,9,2
111,11,3,0,3,2
112,12,3,0,1,2
113,13,3,0,6,2
114,14,3,0,8,2
115,15,3,0,10,2
116,16,3,0,4,2
117,17,3,0,2,2
118,18,3,0,7,2
119,19,3,0,9,2
120,20,3,0,5,2
121,21,3,0,1,2
122,22,3,0,6,2
123,23,3,0,8,2
124,24,3,0,10,2
125,25,3,0,4,2
126,26,3,0,2,2
127,27,3,0,7,2
128,28,3,0,9,2
129,29,3,0,5,2
130,30,3,0,3,2
131,31,3,0,6,2
132,32,3,0,8,2
133,33,3,0,10,2
